사업장명,소재지지번주소,소재지도로명주소,위도,경도
H-Gym,경기도 성남시 분당구 운중동 1030-1 ,"경기도 성남시 분당구 운중로188번길 8, 1층 (운중동)",37.39035076,127.083594
레전드트레이닝센터,경기도 성남시 분당구 서현동 269-6번지 에이원프라자 ,"경기도 성남시 분당구 분당로53번길 9, 에이원프라자 401호 (서현동)",37.3838392,127.1212715
아모르바디,경기도 성남시 분당구 정자동 165-1번지 엠코헤리츠 1단지 ,"경기도 성남시 분당구 정자일로 146, 엠코헤리츠 1단지 A201호 (정자동)",37.36301839,127.1065453
렛츠핏 야탑점,경기도 성남시 분당구 야탑동 274-1 대원상가 ,"경기도 성남시 분당구 벌말로 37, 대원상가 4층 (야탑동)",37.41135164,127.1380006
스포짐 판교역점,경기도 성남시 분당구 백현동 535 크래프톤타워 ,"경기도 성남시 분당구 분당내곡로 117, 크래프톤타워 B101호 (백현동)",37.39422474,127.1121778
라이프짐,경기도 성남시 분당구 야탑동 215 매화마을주공2단지아파트 ,"경기도 성남시 분당구 장미로 139, 상가동 4층 (야탑동, 매화마을주공2단지아파트)",37.41427001,127.1373198
피쓰리짐,경기도 성남시 분당구 정자동 15-7 하나플라자빌딩 ,"경기도 성남시 분당구 느티로 27, 하나플라자빌딩 309호 (정자동)",37.36882649,127.1075088
안나필라테스&P.T,경기도 성남시 분당구 이매동 120-3 청학빌딩 ,"경기도 성남시 분당구 양현로94번길 11, 청학빌딩 404,405호 (이매동)",37.39155521,127.1257142
원아워 피트니스(1Hour FITNESS),경기도 성남시 분당구 수내동 6-9 현대수내프라자 ,"경기도 성남시 분당구 황새울로258번길 43, 현대수내프라자 지하층 101~106호 (수내동)",37.37831721,127.1154901
GYM HUE(짐 휴),경기도 성남시 분당구 금곡동 166 이코노샤르망 ,"경기도 성남시 분당구 돌마로 47, 이코노샤르망 509,510호 (금곡동)",37.35037413,127.1071871
앵커 필라테스 앤 피티,경기도 성남시 분당구 서현동 306-2 동남프라자 ,"경기도 성남시 분당구 불정로 380, 동남프라자 402호 (서현동)",37.37396798,127.1368589
석세스짐,경기도 성남시 분당구 구미동 204-2 로얄프라자 ,"경기도 성남시 분당구 미금로 39, 로얄프라자 5층 (구미동)",37.33684629,127.1160177
운동공간 비트윈,경기도 성남시 분당구 수내동 88-4 우진프라자 ,"경기도 성남시 분당구 불정로 258, 우진프라자 4층 402호 (수내동)",37.36663665,127.1271706
피트니스 더 스토리,경기도 성남시 분당구 서현동 77-3 ,"경기도 성남시 분당구 새마을로1번길 8, 2층 (서현동)",37.38476659,127.1310571
S-필라핏 필라테스&PT,경기도 성남시 분당구 정자동 159-4 젤존타워2 ,"경기도 성남시 분당구 정자일로 162, 젤존타워2 501,502호 (정자동)",37.36463109,127.106311
커브스분당정자클럽,경기도 성남시 분당구 정자동 156-1번지 젤존타워3 603호,"경기도 성남시 분당구 성남대로331번길 3-3, 603호 (정자동, 젤존타워3)",37.3652551,127.1076283
MINE 1호점,경기도 성남시 분당구 야탑동 361-5 대덕프라자 123~125호 ,"경기도 성남시 분당구 성남대로926번길 6, 123~125호 (야탑동, 대덕프라자)",37.41219183,127.129883
BOS STUDIO,경기도 성남시 분당구 판교동 596-3번지 ,"경기도 성남시 분당구 운중로243번길 4-5, 4층 (판교동)",37.38983949,127.0908033
쉼,경기도 성남시 분당구 이매동 137-6 골든프라자 304호,"경기도 성남시 분당구 성남대로779번길 48, 골든프라자 3층 304호 (이매동)",37.39946157,127.1232796
미켈란스포츠센터,경기도 성남시 분당구 정자동 180 미켈란쉐르빌 ,"경기도 성남시 분당구 정자일로 100, 302,304호 (정자동, 미켈란쉐르빌)",37.35875504,127.1066014
큐어맨트레이닝센터,경기도 성남시 분당구 서현동 254-5 서현프라자 704호,"경기도 성남시 분당구 서현로180번길 13, 서현프라자 704호 (서현동)",37.38789571,127.1229083
EMC헬스클럽,경기도 성남시 분당구 이매동 285-1 지하1층 ,"경기도 성남시 분당구 이매로 113, 지하1층 (이매동)",37.39264134,127.1328939
더바디짐(The body Gym),경기도 성남시 분당구 수내동 7-1 외2필지 대덕글로리빌딩 502호,"경기도 성남시 분당구 수내로46번길 11 (수내동, 대덕글로리빌딩 제502호)",37.37997103,127.1168146
록키 프리미엄 피티(ROCKY PREMIUM PT),경기도 성남시 분당구 정자동 149-1번지 ,"경기도 성남시 분당구 황새울로18번길 10, 1층 (정자동)",37.3614498,127.1110433
라인핏,경기도 성남시 분당구 정자동 17-1 젤존타워1 ,"경기도 성남시 분당구 느티로 16, 젤존타워1 7층 701호 (정자동)",37.36816452,127.1063151
반골,경기도 성남시 분당구 야탑동 353-2 동아프라자 ,"경기도 성남시 분당구 야탑로69번길 18, 동아프라자 202호 (야탑동)",37.4116142,127.1267783
와이짐 PT 분당미금점,경기도 성남시 분당구 금곡동 161 천사의도시1 오피스텔 ,"경기도 성남시 분당구 성남대로 165, 천사의도시1 오피스텔 223,224호 (금곡동)",37.35076546,127.1083141
모던 퍼스널 트레이닝,경기도 성남시 분당구 구미동 25-2번지 엘레강스프라자1동 ,"경기도 성남시 분당구 돌마로90번길 4, 엘레강스프라자1동 507호 (구미동)",37.3497179,127.1117375
더블유짐야탑9호점,경기도 성남시 분당구 야탑동 360-1 시그마3 202호,"경기도 성남시 분당구 장미로 78, 시그마3 202호 (야탑동)",37.41350686,127.1295714
케어무브,경기도 성남시 분당구 정자동 81-14번지 ,"경기도 성남시 분당구 황새울로108번길 7-1, 지하1층 (정자동)",37.3697573,127.1108294
SPINA Fit&Pilates,경기도 성남시 분당구 수내동 22-3 수내동 다운타운 1006호,"경기도 성남시 분당구 백현로 97, 수내동 다운타운 1006호 (수내동)",37.37685253,127.111375
Y2P휘트니스,경기도 성남시 분당구 이매동 120-7 분당코아 4층 ,"경기도 성남시 분당구 양현로94번길 21 (이매동,분당코아 4층)",37.39100738,127.1263496
리캔두 컨디셔닝 운동센터,경기도 성남시 분당구 정자동 130-1번지 성남프라자 ,"경기도 성남시 분당구 정자로76번길 5, 성남프라자 2층 201호 (정자동)",37.362754,127.1134608
해피짐,경기도 성남시 분당구 야탑동 382-2 정민빌딩 ,"경기도 성남시 분당구 매화로 53, 정민빌딩 5층 (야탑동)",37.41229358,127.1336116
라인핏,경기도 성남시 분당구 서현동 254-5 서현프라자 ,"경기도 성남시 분당구 서현로180번길 13, 서현프라자 206호 (서현동)",37.38789571,127.1229083
리턴피티스튜디오,경기도 성남시 분당구 정자동 17-1번지 젤존타워1 306호,"경기도 성남시 분당구 느티로 16, 306호 (정자동, 젤존타워1)",37.36816452,127.1063151
형스짐,경기도 성남시 분당구 수내동 58-3번지,"경기도 성남시 분당구 내정로166번길 5 (수내동, 원전빌딩)",37.3731457,127.1197645
서현역점 스포애니 주)케이디스포츠,경기도 성남시 분당구 서현동 270-2 대홍빌딩 지하1층 ,"경기도 성남시 분당구 황새울로 324, 지하1층 (서현동, 대흥빌딩)",37.38495283,127.1215336
뭉트니스,경기도 성남시 분당구 야탑동 331 장미마을 ,"경기도 성남시 분당구 장미로 55, 근린상가동 B101호 (야탑동, 장미마을)",37.41504651,127.1233259
