사업장명,소재지지번주소,소재지도로명주소,위도,경도,업태구분명정보
지에스(GS)25 분당장안점,경기도 성남시 분당구 분당동 120-1 1층 일부 ,"경기도 성남시 분당구 서현로494번길 19, 1(일부)층 (분당동)",37.3694341506,127.1458141344,편의점
지에스(GS)25 분당푸른점,경기도 성남시 분당구 수내동 79-1 그랜드빌딩 107호 일부 ,"경기도 성남시 분당구 돌마로356번길 3, 그랜드빌딩 1층 107호 일부호 (수내동)",37.3697433601,127.1233605321,편의점
지에스(GS)25 분당한진타운점,"경기도 성남시 분당구 정자동 192 정든마을신화5단지아파트 상가동 1층 6,7호 ","경기도 성남시 분당구 정자로 112, 상가동 1층 6,7호 (정자동, 정든마을신화5단지아파트)",37.3631704062,127.1171597345,편의점
지에스(GS)25 서판교로,경기도 성남시 분당구 판교동 562-8 1층 일부 ,"경기도 성남시 분당구 서판교로44번길 3-1, 1층 일부호 (판교동)",37.3910859862,127.0980952933,편의점
지에스(GS)25 서현금강,경기도 성남시 분당구 이매동 122번지 이매촌금강아파트 ,"경기도 성남시 분당구 서현로 177, 이매촌금강아파트 상가동 103 일부호 (이매동, 이매촌금강아파트)",37.3901977066,127.1238787918,편의점
지에스(GS)25 야탑수호,경기도 성남시 분당구 야탑동 282-12 1층 일부 ,"경기도 성남시 분당구 장미로132번길 5, 1층 일부호 (야탑동)",37.4127143889,127.1356096964,편의점
지에스(GS)25 야탑아델파크,경기도 성남시 분당구 야탑동 219-1 아델파크빌 지1층 B107호 일부 ,"경기도 성남시 분당구 장미로 198, 아델파크빌 지1층 B107(일부)호 (야탑동)",37.4124574792,127.1429900036,편의점
지에스(GS)25 율동공원점,경기도 성남시 분당구 율동 112-3 1층 일부 ,"경기도 성남시 분당구 문정로 156, 1층 일부호 (율동)",37.3836727928,127.1508077505,편의점
지에스(GS)25 판교뉴도서관,경기도 성남시 분당구 판교동 612-4번지 1층 일부 ,"경기도 성남시 분당구 운중로243번길 12, 1(일부)층 (판교동)",37.3905873648,127.0907476912,편의점
지에스(GS)25 판교산운마을점,경기도 성남시 분당구 운중동 916 경남아너스빌아파트 산운마을 상가동 1층 102호 일부 ,"경기도 성남시 분당구 판교원로82번길 60, 산운마을 상가동 1층 102호 일부호 (운중동, 경남아너스빌아파트)",37.384562322,127.0705451815,편의점
지에스(GS)25분당오리역점,경기도 성남시 분당구 구미동 158 하나EZ타워 1층 107호 ,"경기도 성남시 분당구 성남대로43번길 10, 하나EZ타워 1층 107호 (구미동)",37.3400283181,127.1078167363,편의점
지에스(GS)25서판교점,경기도 성남시 분당구 운중동 965 더원스퀘어 1층 104호 ,"경기도 성남시 분당구 운중로 135, 더원스퀘어 1층 104호 (운중동)",37.3919358836,127.0781399897,편의점
지에스(GS)25정자스타파크,경기도 성남시 분당구 정자동 174-1 더샵스타파크 상가동 1층 D14호 ,"경기도 성남시 분당구 정자일로 121, 상가동 1층 D14호 (정자동, 더샵스타파크)",37.3607863732,127.1048630347,편의점
지에스(GS)25판교운중점,경기도 성남시 분당구 운중동 55-1 1층 일부(104호 일부) ,"경기도 성남시 분당구 하오개로 362, 1층 일부(104호 일부)호 (운중동)",37.3914804168,127.0595249644,편의점
지에스(GS)25풍성신미주,경기도 성남시 분당구 삼평동 709 메가스페이스1 1층 109호 ,"경기도 성남시 분당구 판교로 375, 1층 109호 (삼평동, 메가스페이스1)",37.4044034571,127.1156054599,편의점
지에스(GS)분당삼성한신,경기도 성남시 분당구 서현동 87 시범단지삼성.한신아파트 ,"경기도 성남시 분당구 중앙공원로 53, 분산상가동 1층 1008일부호 (서현동, 시범단지삼성.한신아파트)",-,-,편의점
지에스(GS)수퍼판교운중점,경기도 성남시 분당구 운중동 960 포모나타워 ,"경기도 성남시 분당구 운중로 117, 포모나타워 1층 일부호 (운중동)",37.3920287733,127.0763884094,편의점
지에스25 분당건영점,경기도 성남시 분당구 분당동 160-1 지하 1층 일부 ,"경기도 성남시 분당구 장안로16번길 2 (분당동, 지하 1층 일부)",37.3685746871,127.1417750426,편의점
지에스25 분당수내본점,경기도 성남시 분당구 수내동 7-5번지 코리아나빌딩 116호 일부,"경기도 성남시 분당구 황새울로258번길 32 (수내동, 코리아나빌딩 116호 일부)",37.3793393,127.1160143,편의점
지에스25 판교삼평(GS25),경기도 성남시 분당구 삼평동 717번지 봇들마을2단지이지더원아파트 ,"경기도 성남시 분당구 판교로 393, 상가2동 1층 102(일부)호 (삼평동, 봇들마을2단지이지더원아파트)",37.4068368,127.1173545,편의점
지에스25 판교원마을점,경기도 성남시 분당구 판교동 635번지 판교원마을6단지아파트 ,"경기도 성남시 분당구 판교원로 209, 상가동 1층 102(일부)호 (판교동, 판교원마을6단지아파트)",37.387254,127.090134,편의점
지에스25(GS25) 분당샛별마을점,경기도 성남시 분당구 분당동 39번지 샛별마을삼부아파트 ,"경기도 성남시 분당구 수내로 201, 1층 107(일부)호 (분당동, 샛별마을삼부아파트)",37.3705861939,127.1291532818,편의점
지에스25(GS25) 분당수내고점,경기도 성남시 분당구 수내동 113-1 1층 GS25 분당수내고점 일부 ,"경기도 성남시 분당구 발이봉북로 18 (수내동, 1층 GS25 분당수내고점 일부)",37.3656311343,127.1284517427,편의점
지에스25(GS25) 분당신성점,경기도 성남시 분당구 수내동 74번지 푸른마을상가4-4동 1층 108호 지에스25(GS25) 분당신성점 일부 ,"경기도 성남시 분당구 돌마로366번길 40 (수내동, 푸른마을상가4-4동 1층 108호 지에스25(GS25) 분당신성점 일부)",37.367643501,127.1257165254,편의점
지에스25(GS25) 분당신화점,경기도 성남시 분당구 정자동 192번지 상가동 1층 20호 일부,"경기도 성남시 분당구 정자로 112 (정자동, 상가동 1층 20호 일부)",37.3621733,127.1177382,편의점
지에스25(GS25) 분당아름점,경기도 성남시 분당구 이매동 142번지 아름마을상가동 1층 지에스25(GS25) 분당아름점 103호 일부,"경기도 성남시 분당구 이매로 11 (이매동, 아름마을상가동 1층 지에스25(GS25) 분당아름점 103호 일부)",37.3953084,127.1218542,편의점
지에스25(GS25) 분당아이원,경기도 성남시 분당구 서현동 255-1번지 풍림아이원플러스 2층 230-1호 일부,"경기도 성남시 분당구 서현로 170 (서현동, 풍림아이원플러스 2층 230-1호 일부)",37.3888656,127.1224312,편의점
지에스25(GS25) 분당창인점,경기도 성남시 분당구 서현동 298-3번지 1층 105호 GS25 분당창인점 일부,"경기도 성남시 분당구 돌마로 478 (서현동, 1층 105호 GS25 분당창인점 일부)",37.3768977,127.1333751,편의점
지에스25(GS25) 분당헤리츠,경기도 성남시 분당구 구미동 9-1 분당엠코헤리츠 1층 115-4호 일부 ,"경기도 성남시 분당구 성남대로 151, 분당엠코헤리츠 1층 115-4(일부)호 (구미동)",37.3492781995,127.1083218741,편의점
지에스25(GS25) 야탑리더스점,경기도 성남시 분당구 야탑동 342-1번지 야탑리더스 1층 122호 지에스25(GS25) 야탑리더스점 일부,"경기도 성남시 분당구 장미로 42 (야탑동, 야탑리더스 1층 122호 지에스25(GS25) 야탑리더스점 일부)",37.413388,127.1254635,편의점
지에스25(GS25) 야탑타워빌점,경기도 성남시 분당구 야탑동 532-5번지 굿모닝프라자 105호 일부,"경기도 성남시 분당구 판교로 475 (야탑동, 굿모닝프라자 105호 일부)",37.4056651,127.1266256,편의점
지에스25(GS25) 정자타운점,경기도 성남시 분당구 정자동 59-6 1층 일부 ,"경기도 성남시 분당구 느티로87번길 15 (정자동, 1층 일부)",37.3700020916,127.1141434401,편의점
지에스25(GS25) 판교궁내점,경기도 성남시 분당구 궁내동 327-11번지 지하 1층 GS25 판교궁내점 일부,"경기도 성남시 분당구 궁내로40번길 25 (궁내동, 지하 1층 GS25 판교궁내점 일부)",37.3703347,127.0995523,편의점
지에스25(GS25) 판교봇들,경기도 성남시 분당구 삼평동 738번지 봇들마을 비상가동 103호 일부,"경기도 성남시 분당구 동판교로 155 (삼평동, 봇들마을 비상가동 103호 일부)",37.3970537,127.1154311,편의점
지에스25(GS25) 판교허브점,경기도 성남시 분당구 백현동 529 판교역 SK HUB A동 지하2층 B210호 일부 ,"경기도 성남시 분당구 판교역로 109 (백현동, 판교역 SK HUB A동 지하2층 B210호 일부)",37.3912212739,127.1088719549,편의점
지에스25(GS25)분당젤존타워점,경기도 성남시 분당구 정자동 156-1번지 젤존타워III 115호 일부,"경기도 성남시 분당구 성남대로331번길 3-3 (정자동, 젤존타워III 115호 일부)",37.3652551,127.1076283,편의점
지에스25분당초림점,경기도 성남시 분당구 수내동 33-2 궁전프라자-3 107일부호,"경기도 성남시 분당구 내정로173번길 49, 궁전프라자-3 107 일부호 (수내동)",37.3773719103,127.1158451142,편의점
지에스25야탑아미고점,경기도 성남시 분당구 야탑동 358-3번지 분당아미고타워 115호 일부 ,"경기도 성남시 분당구 야탑로81번길 10, 분당아미고타워 1층 115일부호 (야탑동)",37.4105911732,127.1282185032,편의점
현대이매동셀프점,경기도 성남시 분당구 이매동 90-2 1층 일부 ,"경기도 성남시 분당구 성남대로772번길 2, 1층 일부호 (이매동)",37.3982906997,127.1292735083,편의점
