사업장명,소재지지번주소,소재지도로명주소,위도,경도,업태구분명정보
반도세탁소,경기도 성남시 분당구 분당동 160-4번지 ,경기도 성남시 분당구 장안로16번길 6 (분당동),37.368175,127.1420751,일반세탁업
백성사,경기도 성남시 분당구 서현동 92번지 현대아파트 분산상가2동 1층 406호 ,"경기도 성남시 분당구 중앙공원로 20 (서현동, 현대아파트 분산상가2동 1층 406호)",37.377839,127.1294025,일반세탁업
백양세탁소,경기도 성남시 분당구 이매동 117 이매촌 분산상가 205호 ,"경기도 성남시 분당구 양현로94번길 28 (이매동, 이매촌 분산상가 205호)",37.3904947779,127.1267249011,일반세탁업
백양세탁소,경기도 성남시 분당구 서현동 310번지 분산B상가 101호 ,"경기도 성남시 분당구 분당로263번길 13 (서현동,분산B상가 101호)",37.3708922,127.1375756,일반세탁업
백영세탁,경기도 성남시 분당구 야탑동 201번지 매화마을공무원아파트상가동101호 ,"경기도 성남시 분당구 매화로 92 (야탑동,매화마을공무원아파트상가동101호)",37.4157471,127.1352385,일반세탁업
백영세탁소,경기도 성남시 분당구 수내동 101-4번지 102호,"경기도 성남시 분당구 발이봉남로8번길 1, 102호 (수내동)",37.364895,127.1260507,일반세탁업
백영세탁소,경기도 성남시 분당구 정자동 194번지 정든한진A 상가 103 ,"경기도 성남시 분당구 내정로 10 (정자동,정든한진A 상가 103)",37.3604542,127.1158844,일반세탁업
백조세탁,경기도 성남시 분당구 분당동 67번지 건영A상가동 203호 ,"경기도 성남시 분당구 장안로25번길 28 (분당동,건영A상가동 203호)",37.3712312,127.1405115,일반세탁업
백조세탁소,경기도 성남시 분당구 야탑동 215번지 매화마을 공무원a상가 지하1층 102호 ,"경기도 성남시 분당구 장미로 139 (야탑동,매화마을 공무원a상가 지하1층 102호)",37.4141428,127.1357101,일반세탁업
백현명품세탁,경기도 성남시 분당구 백현동 554 나상가동 103호 ,"경기도 성남시 분당구 판교역로 102 (백현동,나상가동 103호)",37.3910861039,127.1116178355,일반세탁업
블루빌세탁소,경기도 성남시 분당구 수내동 11-1번지 청구블루빌 107호 ,"경기도 성남시 분당구 황새울로 224 (수내동, 청구블루빌 107호)",37.3788645,127.113078,일반세탁업
산운명품크리닝,경기도 성남시 분당구 운중동 981-3번지 1층 일부 ,"경기도 성남시 분당구 운중로113번길 4-15 (운중동,1층 일부)",37.3929756,127.0766007,일반세탁업
산운세탁,경기도 성남시 분당구 운중동 956번지 산운마을 상가동 102호 ,"경기도 성남시 분당구 산운로 98 (운중동, 산운마을 상가동 102호)",37.3923928,127.0719363,일반세탁업
삼성루체세탁,경기도 성남시 분당구 정자동 170-1번지 삼성아데나루체 110호 ,"경기도 성남시 분당구 정자일로 120 (정자동, 삼성아데나루체 110호)",37.3607871,127.1064933,일반세탁업
삼성세탁소,경기도 성남시 분당구 이매동 99번지 이매촌 상가비동 103호 ,"경기도 성남시 분당구 양현로 220 (이매동, 이매촌 상가비동 103호)",37.4028628,127.1267678,일반세탁업
삼성세탁소,경기도 성남시 분당구 구미동 222번지 무지개마을 상가동 109호 ,"경기도 성남시 분당구 구미로 100 (구미동, 무지개마을 상가동 109호)",37.3381221,127.1208838,일반세탁업
삼성트라팰리스세탁전문점,경기도 성남시 분당구 수내동 10-1번지 분당트라팰리스111호 일부 ,"경기도 성남시 분당구 황새울로 234 (수내동,분당트라팰리스111호 일부)",37.3793951,127.1141288,일반세탁업
삼익세탁소,경기도 성남시 분당구 수내동 54번지 파크타운삼익A장미상가 ,"경기도 성남시 분당구 내정로166번길 42 (수내동,파크타운삼익A장미상가)",37.3702523,127.120855,일반세탁업
삼한세탁소,경기도 성남시 분당구 서현동 87번지 삼성아파트분산상가동1006호 ,"경기도 성남시 분당구 중앙공원로 53 (서현동,삼성아파트분산상가동1006호)",37.3833364,127.1282939,일반세탁업
